variant,mode,real,user,sys,maxrss_kb
baseline,normal,0:01.40,1.34,0.05,164764
baseline,fast,0:01.44,1.39,0.05,164788
no-conditionals,normal,0:00.03,0.03,0.00,9824
no-conditionals,fast,0:00.03,0.02,0.00,10284
no-depschemas,normal,0:01.44,1.39,0.04,165024
no-depschemas,fast,0:01.44,1.39,0.05,164852
no-uneval,normal,0:01.40,1.34,0.05,164928
no-uneval,fast,0:01.48,1.43,0.04,164772
refs-only,normal,0:00.00,0.00,0.00,7044
refs-only,fast,0:00.00,0.00,0.00,6828
only-allof,normal,0:00.03,0.03,0.00,10312
only-allof,fast,0:00.03,0.02,0.00,10328
no-anyof,normal,0:01.40,1.34,0.04,164728
no-anyof,fast,0:01.44,1.39,0.04,164852
no-oneof,normal,0:01.40,1.36,0.03,165092
no-oneof,fast,0:01.45,1.39,0.05,164856
no-allof,normal,0:00.00,0.00,0.00,6820
no-allof,fast,0:00.01,0.01,0.00,7136
conditionals-empty,normal,0:01.40,1.35,0.04,164928
conditionals-empty,fast,0:01.49,1.44,0.04,165012
no-refs-inside-conditionals,normal,0:01.40,1.34,0.04,165188
no-refs-inside-conditionals,fast,0:01.45,1.40,0.05,164888
no-conditional-keys,normal,0:01.40,1.35,0.05,164952
no-conditional-keys,fast,0:01.44,1.39,0.04,165200
